name,module,stable_url,http_status,resolved_url,latest_url,latest_http_status
add,arithmetic,https://arturo-lang.io/documentation/library/arithmetic/add,200,https://arturo-lang.io/documentation/library/arithmetic/add,https://arturo-lang.io/latest/documentation/library/arithmetic/add,200
dec,arithmetic,https://arturo-lang.io/documentation/library/arithmetic/dec,200,https://arturo-lang.io/documentation/library/arithmetic/dec,https://arturo-lang.io/latest/documentation/library/arithmetic/dec,200
div,arithmetic,https://arturo-lang.io/documentation/library/arithmetic/div,200,https://arturo-lang.io/documentation/library/arithmetic/div,https://arturo-lang.io/latest/documentation/library/arithmetic/div,200
divmod,arithmetic,https://arturo-lang.io/documentation/library/arithmetic/divmod,200,https://arturo-lang.io/documentation/library/arithmetic/divmod,https://arturo-lang.io/latest/documentation/library/arithmetic/divmod,200
fdiv,arithmetic,https://arturo-lang.io/documentation/library/arithmetic/fdiv,200,https://arturo-lang.io/documentation/library/arithmetic/fdiv,https://arturo-lang.io/latest/documentation/library/arithmetic/fdiv,200
inc,arithmetic,https://arturo-lang.io/documentation/library/arithmetic/inc,200,https://arturo-lang.io/documentation/library/arithmetic/inc,https://arturo-lang.io/latest/documentation/library/arithmetic/inc,200
mod,arithmetic,https://arturo-lang.io/documentation/library/arithmetic/mod,200,https://arturo-lang.io/documentation/library/arithmetic/mod,https://arturo-lang.io/latest/documentation/library/arithmetic/mod,200
mul,arithmetic,https://arturo-lang.io/documentation/library/arithmetic/mul,200,https://arturo-lang.io/documentation/library/arithmetic/mul,https://arturo-lang.io/latest/documentation/library/arithmetic/mul,200
neg,arithmetic,https://arturo-lang.io/documentation/library/arithmetic/neg,200,https://arturo-lang.io/documentation/library/arithmetic/neg,https://arturo-lang.io/latest/documentation/library/arithmetic/neg,200
pow,arithmetic,https://arturo-lang.io/documentation/library/arithmetic/pow,200,https://arturo-lang.io/documentation/library/arithmetic/pow,https://arturo-lang.io/latest/documentation/library/arithmetic/pow,200
sub,arithmetic,https://arturo-lang.io/documentation/library/arithmetic/sub,200,https://arturo-lang.io/documentation/library/arithmetic/sub,https://arturo-lang.io/latest/documentation/library/arithmetic/sub,200
and,bitwise,https://arturo-lang.io/documentation/library/bitwise/and,200,https://arturo-lang.io/documentation/library/bitwise/and,https://arturo-lang.io/latest/documentation/library/bitwise/and,200
nand,bitwise,https://arturo-lang.io/documentation/library/bitwise/nand,200,https://arturo-lang.io/documentation/library/bitwise/nand,https://arturo-lang.io/latest/documentation/library/bitwise/nand,200
nor,bitwise,https://arturo-lang.io/documentation/library/bitwise/nor,200,https://arturo-lang.io/documentation/library/bitwise/nor,https://arturo-lang.io/latest/documentation/library/bitwise/nor,200
not,bitwise,https://arturo-lang.io/documentation/library/bitwise/not,200,https://arturo-lang.io/documentation/library/bitwise/not,https://arturo-lang.io/latest/documentation/library/bitwise/not,200
or,bitwise,https://arturo-lang.io/documentation/library/bitwise/or,200,https://arturo-lang.io/documentation/library/bitwise/or,https://arturo-lang.io/latest/documentation/library/bitwise/or,200
shl,bitwise,https://arturo-lang.io/documentation/library/bitwise/shl,200,https://arturo-lang.io/documentation/library/bitwise/shl,https://arturo-lang.io/latest/documentation/library/bitwise/shl,200
shr,bitwise,https://arturo-lang.io/documentation/library/bitwise/shr,200,https://arturo-lang.io/documentation/library/bitwise/shr,https://arturo-lang.io/latest/documentation/library/bitwise/shr,200
xnor,bitwise,https://arturo-lang.io/documentation/library/bitwise/xnor,200,https://arturo-lang.io/documentation/library/bitwise/xnor,https://arturo-lang.io/latest/documentation/library/bitwise/xnor,200
